,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
0,0.059:marine,0.028:sustainable,0.065:food,0.071:education,0.089:water,0.050:health,0.044:developing,0.036:manufacturing,0.028:girl,0.045:biodiversity,0.065:territory,0.076:poverty,0.031:africa,0.041:climate,0.045:growth,0.065:urban
1,0.057:ocean,0.023:goal,0.030:hunger,0.052:primary,0.065:energy,0.045:death,0.033:including,0.028:infrastructure,0.025:right,0.042:area,0.055:pandemic,0.041:social,0.029:region,0.032:change,0.041:rate,0.052:city
2,0.021:coastal,0.020:world,0.028:agricultural,0.052:school,0.034:sanitation,0.041:disease,0.028:development,0.027:developing,0.023:violence,0.039:forest,0.025:covid,0.033:disaster,0.024:asia,0.021:material,0.037:labour,0.037:population
3,0.018:fishery,0.018:development,0.025:agriculture,0.022:secondary,0.020:renewable,0.024:mortality,0.025:international,0.027:value,0.016:sexual,0.033:land,0.021:increase,0.033:extreme,0.022:saharan,0.019:consumption,0.031:employment,0.023:slum
4,0.017:sustainable,0.016:progress,0.013:world,0.020:learning,0.017:service,0.017:rate,0.022:developed,0.026:developed,0.015:gender,0.029:specie,0.018:rate,0.031:protection,0.021:sub,0.018:national,0.020:unemployment,0.021:public
5,0.017:ecosystem,0.014:target,0.013:malnutrition,0.017:quality,0.015:drinking,0.014:maternal,0.021:proportion,0.024:gdp,0.014:institution,0.021:loss,0.017:affected,0.021:living,0.020:rate,0.017:convention,0.018:financial,0.020:air
6,0.016:level,0.014:life,0.013:production,0.015:teacher,0.015:electricity,0.014:live,0.018:national,0.019:economic,0.014:law,0.018:ecosystem,0.014:period,0.021:poor,0.020:progress,0.017:sustainable,0.018:youth,0.018:waste
7,0.016:area,0.013:need,0.013:subsidy,0.015:proficiency,0.014:management,0.013:hiv,0.016:ensure,0.019:industry,0.013:victim,0.015:protected,0.014:level,0.019:population,0.016:globally,0.016:framework,0.017:worker,0.017:transport
8,0.014:resource,0.012:percent,0.012:market,0.015:level,0.014:technology,0.013:care,0.015:particular,0.019:added,0.013:human,0.014:wildlife,0.013:impact,0.018:income,0.013:developing,0.014:adaptation,0.016:economic,0.015:area
9,0.014:pollution,0.010:economic,0.012:breed,0.015:reading,0.013:clean,0.012:communicable,0.014:policy,0.015:development,0.011:public,0.012:terrestrial,0.012:target,0.016:economic,0.013:development,0.014:agreement,0.016:adult,0.014:world
10,0.012:sea,0.010:increasing,0.011:export,0.012:skill,0.013:sector,0.012:tuberculosis,0.013:sustainable,0.013:employment,0.011:level,0.012:resource,0.011:crisis,0.016:vulnerable,0.012:worldwide,0.012:resource,0.015:job,0.013:living
11,0.012:water,0.009:human,0.011:aid,0.012:basic,0.013:fuel,0.010:service,0.013:reduce,0.013:growth,0.010:national,0.012:mountain,0.010:decade,0.016:benefit,0.012:population,0.012:action,0.015:productivity,0.013:space
12,0.011:fishing,0.009:cost,0.011:price,0.012:mathematics,0.012:population,0.010:malaria,0.012:state,0.013:sector,0.009:legal,0.012:conservation,0.010:past,0.012:reported,0.011:world,0.011:disaster,0.015:developed,0.013:solid
13,0.011:acidification,0.009:opportunity,0.010:investment,0.011:sub,0.012:efficiency,0.010:vaccine,0.012:resource,0.013:investment,0.009:marriage,0.012:degradation,0.010:caused,0.012:reduction,0.011:period,0.011:developed,0.014:young,0.012:number
14,0.011:fish,0.009:change,0.010:sector,0.009:development,0.011:resource,0.010:risk,0.011:financial,0.011:research,0.009:equality,0.011:extinction,0.009:response,0.012:risk,0.011:estimated,0.011:production,0.014:gdp,0.012:sustainable
15,0.011:biodiversity,0.009:help,0.010:government,0.009:ensure,0.011:increase,0.010:reproductive,0.011:promote,0.011:service,0.009:proportion,0.011:management,0.009:expected,0.012:world,0.010:developed,0.010:contribution,0.013:service,0.012:safe
