,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
0,0.046:poverty,0.092:energy,0.046:biodiversity,0.044:including,0.040:asia,0.064:developing,0.053:urban,0.053:health,0.047:sustainable,0.044:growth,0.058:marine,0.059:food,0.039:right,0.053:climate,0.048:girl,0.081:water
1,0.033:social,0.029:technology,0.043:area,0.041:proportion,0.035:africa,0.052:developed,0.039:population,0.046:death,0.027:consumption,0.039:employment,0.056:ocean,0.029:hunger,0.031:institution,0.040:change,0.036:violence,0.046:education
2,0.030:world,0.029:sustainable,0.040:forest,0.026:policy,0.034:region,0.031:development,0.038:city,0.042:disease,0.027:resource,0.033:labour,0.022:sustainable,0.028:agricultural,0.024:national,0.025:national,0.031:gender,0.032:sanitation
3,0.026:income,0.024:renewable,0.032:land,0.024:ensure,0.026:rate,0.029:manufacturing,0.026:air,0.024:mortality,0.026:material,0.031:rate,0.021:coastal,0.026:agriculture,0.020:human,0.021:action,0.024:sexual,0.029:primary
4,0.021:population,0.022:fuel,0.029:specie,0.023:reduce,0.025:territory,0.025:value,0.023:world,0.022:rate,0.019:goal,0.019:economic,0.018:fishery,0.014:world,0.019:public,0.018:framework,0.022:equality,0.028:school
5,0.019:living,0.020:clean,0.021:ecosystem,0.023:national,0.025:sub,0.020:gdp,0.019:public,0.015:live,0.017:production,0.019:financial,0.018:resource,0.014:aid,0.018:international,0.017:agreement,0.018:level,0.018:basic
6,0.019:extreme,0.019:electricity,0.021:loss,0.019:disability,0.023:saharan,0.020:state,0.017:slum,0.014:maternal,0.017:development,0.018:job,0.017:level,0.012:production,0.016:law,0.016:disaster,0.016:right,0.015:drinking
7,0.019:protection,0.018:efficiency,0.016:resource,0.017:inequality,0.022:pandemic,0.018:economic,0.016:pollution,0.013:hiv,0.017:need,0.017:unemployment,0.015:ecosystem,0.012:market,0.015:proportion,0.016:adaptation,0.015:marriage,0.014:level
8,0.017:economic,0.015:infrastructure,0.014:protected,0.017:particular,0.016:globally,0.016:region,0.014:area,0.012:communicable,0.015:target,0.017:worker,0.015:area,0.012:malnutrition,0.015:trafficking,0.015:developing,0.013:practice,0.013:quality
9,0.014:disaster,0.015:consumption,0.014:wildlife,0.017:resource,0.014:increase,0.015:added,0.014:waste,0.012:care,0.014:community,0.017:adult,0.013:pollution,0.012:export,0.015:information,0.015:developed,0.013:work,0.013:management
10,0.014:progress,0.014:increase,0.013:mountain,0.017:developing,0.014:southern,0.014:island,0.014:transport,0.012:globally,0.014:percent,0.015:productivity,0.013:water,0.011:fell,0.014:promote,0.014:reduction,0.013:society,0.013:facility
11,0.013:poor,0.013:cooking,0.013:conservation,0.016:income,0.014:worldwide,0.014:industry,0.012:living,0.012:tuberculosis,0.013:waste,0.015:gdp,0.012:sea,0.011:breed,0.014:victim,0.014:plan,0.012:legal,0.012:service
12,0.013:reported,0.013:development,0.012:terrestrial,0.015:end,0.013:period,0.011:increase,0.011:sustainable,0.011:estimated,0.012:cost,0.014:men,0.012:world,0.011:insecurity,0.014:developing,0.013:contribution,0.012:physical,0.012:secondary
