,files
355,"while some indicators of gender equality are progressing, such as a significant decline in the prevalence of female genital mutilation and early marriage, the overall numbers continue to be high. moreover, insufficient progress on structural issues at the root of gender inequality, such as legal discrimination, unfair social norms and attitudes, decision making on sexual and reproductive issues and low levels of political participation, are undermining the ability to achieve sustainable development goal 5. recent data from 106 countries show that 18 per cent of ever partnered women and girls aged 15 to 49 have experienced physical and/or sexual partner violence in the previous 12 months. the prevalence is highest in least developed countries, at 24 per cent. the practice of child marriage has continued to decline around the world, largely driven by progress in south asia, where a girlâ€™s risk of marrying in childhood decreased by about one quarter between 2013 and 2018. in sub saharan africa, levels of child marriage have declined at a more modest rate. at least 200 million girls and women have been subjected to female genital mutilation, based on data from 30 countries where the practice is concentrated and where nationally representative prevalence data is available. in these countries, the prevalence of this harmful practice declined by one quarter between approximately 2000 and 2018. according to recent data from some 90 countries, women devote on average roughly three times more hours a day to unpaid care and domestic work than men, limiting the time available for paid work, education and leisure and further reinforcing gender based socioeconomic disadvantages."
356,"women continue to be underrepresented at all levels of political leadership. as at 1 january 2019, womenâ€™s representation in national parliaments ranged from 0 to 61.3 per cent, with the average standing at 24.2 per cent, an increase from 19 per cent in 2010. at the local level, data from 99 countries and areas show that womenâ€™s representation in elected deliberative bodies varies from less than 1 per cent to 48 per cent, with the median of the distribution at 26 per cent. when legislated gender quotas are adopted, significantly higher proportions of women are elected at both national and local levels. while women represented 39 per cent of world employment, only 27 per cent of managerial positions in the world were occupied by women in 2018, up only marginally from 26 per cent in 2015. the proportion of women in management has increased since 2000 in all regions except in least developed countries. in 51 countries with data on the subject, only 57 per cent of women aged 15 to 49, married or in union, make their own decisions about sexual relations and the use of contraceptives and health services. over the past 25 years, there has been progress in reforming laws towards improving gender equality, yet discriminatory laws and gaps in legal protection remain in many countries. on the basis of data collected across four areas of law in 2018 from 53 countries, almost a third have legal gaps in the area of overarching legal frameworks and public life (e.g., constitutions, antidiscrimination laws, quotas, legal aid); more than a quarter have legal gaps in the area of violence against women; and 29 per cent and 24 per cent have legal gaps in the employment and economic benefits area and in the marriage and family area, respectively. "
357,"despite progress in implementing gender responsive budgeting globally, gaps remain in country efforts to establish comprehensive and transparent tracking systems. based on 2018 data from 69 countries, 13 countries fully met the criteria of having in place a tracking system that measures and makes publicly available gender budget data, and 41 countries approached the requirements. the commitment to advancing gender equality has brought about improvements in some areas, but the promise of a world in which every woman and girl enjoy full gender equality and all legal, social and economic barriers to their empowerment have been removed remains unfulfilled. the current pandemic is also hitting women and girls hard. globally, women make up three quarters of medical doctors and nursing personnel. women already spend three times as many hours as men on unpaid care work at home. the closure of school and day care centres requires parents, women in particular, to care more for children and facilitate their learning at home. reports from several countries suggest that domestic violence against women and children is also rising during the global lockdown. in 2019, one in five young women 20 to 24 years of age throughout the world was married in childhood, down from one in four in 2004 and with the highest figure in sub saharan africa, with more than one in three young women. at least 200 million girls and women have been subjected to female genital mutilation, according to recent data from the 31 countries where the practice is concentrated. the harmful practice is becoming less common, but progress is not fast enough to meet the global target of its elimination by 2030. "
358,"as at 1 january 2020, representation by women in single or lower houses of national parliament reached 24.9 per cent, up slightly from 22.3 per cent in 2015. women have better access to decision making positions at the local level, holding 36 per cent of elected seats in local deliberative bodies, based on data from 133 countries and areas. in 2019, 28 per cent of managerial positions in the world were occupied by women, a small increase from 25 per cent in 2000, while women represented 39 per cent of the worldâ€™s workers and half of the worldâ€™s working age population. based on data from 57 countries for the period 2007â€“2018, only 55 per cent of married or in union women 15 to 49 years of age made their own decisions regarding sexual and reproductive health and rights, ranging from less than 40 per cent in central and western africa to nearly 80 per cent in some countries in europe, south eastern asia and latin america and the caribbean. in 2019, in the 75 countries with data, on average, 73 per cent of the laws and regulations needed to guarantee full and equal access to sexual and reproductive health and rights were in place. the findings are particularly encouraging with regard to hiv: on average, countries achieved 87 per cent of enabling laws and regulations for hiv counselling and test services, 91 per cent for hiv treatment and care services and 96 per cent for hiv confidentiality. empowering women with mobile telephones has been shown to accelerate social and economic development. however, in the 66 countries with data for the 2016â€“2018 period, the rate of mobile telephone ownership among men was on average 6.8 percentage points higher than the rate among women."
359,"the socioeconomic impacts of the covid 19 pandemic have adversely affected recent progress on gender equality: violence against women and girls has intensified, child marriage is expected to increase after declining in previous years, and increased care work at home is affecting women disproportionately. the pandemic has highlighted the need for swift action to address the gender inequality that remains pervasive globally and to get back on track for achieving gender equality. women have played a critical role in the response to the pandemic as front line health workers, caregivers, and managers and leaders of the response and recovery efforts. however, they remain underrepresented in critical leadership positions, and their rights and priorities are often not explicitly addressed in those efforts. the crisis presents an opportunity to reshape and rebuild systems, laws, policies and institutions in order to advance gender equality. discriminatory laws and legal gaps continue to prevent women from fully enjoying their human rights. according to data for 2020 from 95 countries and territories, more than half lacked quotas for women in the national parliament; 83 per cent included budgetary commitments to implement legislation addressing violence against women, although 63 per cent continued to lack rape laws based on the principle of consent; more than 90 per cent prohibited discrimination in employment on the basis of gender, yet almost half continued to restrict women from working in certain jobs or industries; and almost one quarter did not grant women equal rights to men for entering into marriage and initiating divorce proceedings. new estimates based on surveys from the period 2000â€“2018 confirm that nearly 736 million women, or one in three, have been subjected to physical violence, sexual violence or both by a husband or intimate partner, or sexual violence by a non partner, at least once in their lifetime from 15 years of age â€“ a figure that has remained largely unchanged over the past decade. "
360,"intimate partner violence starts early, with nearly 24 per cent of adolescent girls 15 to 19 years of age and 26 per cent of young women 20 to 24 years of age who have ever had a partner or been married having experienced such violence already. over the past decade, the practice of child marriage has declined significantly, with the global proportion of young women who were married as children decreasing by 15 per cent, from nearly one in four in 2010 to one in five in 2020. as a result of this progress, the child marriages of some 25 million girls have been averted. however, the profound effects of the pandemic are threatening this progress, with up to 10 million additional girls at risk of child marriage in the next decade as a result of the pandemic. according to data from 31 countries and territories in which the practice is concentrated, at least 200 million women and girls have been subjected to female genital mutilation. despite some progress, there are still countries and territories in which at least 9 in 10 girls and women ranging from 15 to 49 years of age have been subjected to such mutilation, making the harmful practice almost universal. the latest data collected on 90 countries and territories between 2001 and 2019 indicate that, on an average day, women spend about 2.5 times as many hours as men on unpaid domestic work and care work. as at 1 january 2021, data from 135 countries and territories indicated that the global average proportion of women in the single or lower houses of parliaments had reached 25.6 per cent, continuing a slow upward trend that would require 40 years for gender parity to be achieved, while the proportion of women in local deliberative bodies was 36.3 per cent. "
361,"there are 40 per cent or more women in the lower or single parliamentary houses of only 23 countries and territories and in the local governments of only 22 countries and territories, proportions achieved through the use of gender quotas in most of the countries and territories. by 2019, women accounted for nearly 39 per cent of the global labour force, but held only 28.3 per cent of managerial positions, a rise of 3 percentage points since 2000. the disproportionate impact of the pandemic on women in the workforce, and female entrepreneurs in particular, threatens to roll back the little progress made in reducing the global gender gap in managerial positions. data for 2020 from 36 countries and territories on national legal framework guarantees for womenâ€™s equal rights to land ownership show that substantial improvement has been achieved in establishing equal inheritance rights (69 per cent) and establishing spousal consent requirements for land transactions (61 per cent), while progress is lagging in areas including land registration, customary law, and womenâ€™s representation in land governance. empowering more women with mobile telephones has been shown to accelerate social and economic development. however, in the 66 countries and territories with data for the period 2017â€“2019, average mobile telephone ownership was 8.5 percentage points lower for women than for men. in 2018, 81 per cent of the 69 countries and territories for which there are data needed to improve their systems for tracking budget allocations for gender equality. in the context of the covid 19 pandemic, strengthening these systems through the comprehensive use of gender budgeting tools will contribute to the better targeting of resources for a gender responsive recovery."
362,"water and sanitation are at the very core of sustainable development, critical to the survival of people and the planet. goal 6 not only addresses the issues relating to drinking water, sanitation and hygiene, but also the quality and sustainability of water resources worldwide. in 2015, 4.9 billion people globally used an improved sanitation facility; 2.4 billion did not. among those lacking adequate sanitation were 946 million people without any facilities at all, who continued to practise open defecation. in 2015, 68 per cent of the global population was using improved sanitation facilities compared to 59 per cent in 2000. nevertheless, the unsafe management of faecal waste and wastewater continues to present a major risk to public health and the environment. more progress has been made in access to drinking water. in 2015, 6.6 billion people, or 91 per cent of the global population, used an improved drinking water source, versus 82 per cent in 2000. despite that improvement, an estimated 663 million people were using unimproved water sources or surface water that year. while coverage was around 90 per cent or more in all regions except sub saharan africa and oceania, widespread inequalities persist within and among countries. moreover, not all improved sources are safe. for instance, in 2012 it was estimated that at least 1.8 billion people were exposed to drinking water sources contaminated with faecal matter. holistic management of the water cycle means taking into account the level of water stress, calculated as the ratio of total fresh water withdrawn by all major sectors to the total renewable fresh water resources in a particular country or region."
363,"integrated water resources management, one of the follow up actions to the plan of implementation of the world summit on sustainable development (johannesburg plan of implementation), aims to address this urgent situation. in 2012, 65 per cent of the 130 countries that responded to a survey question on integrated water resources management reported that management plans were in place at the national level. total official flows for water and sanitation were $10 billion in 2014, of which total aid flows from dac donors amounted to $8 billion. aid for water and sanitation nearly doubled as a share of oda during the international drinking water supply and sanitation decade (1981 1990). since that time, on average, it has remained at around 7 per cent of total aid flows. better targeting and tracking of water aid within the context of national situations is needed. for instance, numerous countries with limited access to water supply and/or sanitation have been receiving minimal external assistance (typically less than $2 per capita annually), while other countries with higher levels of access have received much more (at least $30 per capita a year). effective water and sanitation management also depends on the participation of stakeholders. according to a 2013 2014 global analysis and assessment of sanitation and drinking water survey, 83 per cent of the 94 countries surveyed reported that procedures for stakeholder participation were clearly defined in law or policy. in the sustainable development goals, the focus is being refined to also include the participation of local communities, which will be captured in the next cycle of global analysis and assessment of sanitation and drinking water monitoring"
364,"access to safe water and sanitation and sound management of freshwater ecosystems are essential to human health and to environmental sustainability and economic prosperity. in 2015, 6.6 billion people (over 90 per cent of the worldâ€™s population) used improved drinking water sources and 4.9 billion people (over two thirds of the worldâ€™s population) used improved sanitation facilities. in both cases, people without access live predominantly in rural areas. achieving universal access to basic sanitation and ending the unsafe practice of open defecation will require substantial acceleration of progress in rural areas of central and southern asia, eastern and south eastern asia and sub saharan africa. effective water and sanitation management relies on the participation of a range of stakeholders, including local communities. a 2016 2017 survey found that over 80 per cent of 74 responding countries had clearly defined procedures for engaging service users/communities in water and sanitation management. more than 2 billion people globally are living in countries with excess water stress, defined as the ratio of total freshwater withdrawn to total renewable freshwater resources above a threshold of 25 per cent. northern africa and western asia experience water stress levels above 60 per cent, which indicates the strong probability of future water scarcity. in 2012, 65 per cent of the 130 countries that responded to a survey on integrated water resources management reported that management plans were in place at the national level. oda for the water sector has been rising steadily, but has remained relatively constant as a proportion of total oda disbursements, at approximately 5 per cent since 2005. in 2015, oda disbursements in the water sector totalled about $8.6 billion, which represents an increase of 67 per cent in real terms since 2005."
365,"too many people still lack access to safely managed water supplies and sanitation facilities. water scarcity, flooding and lack of proper wastewater management also hinder social and economic development. increasing water efficiency and improving water management are critical to balancing the competing and growing water demands from various sectors and users. in 2015, 29 per cent of the global population lacked safely managed drinking water supplies, and 61 per cent were without safely managed sanitation services. in 2015, 892 million people continued to practise open defecation. in 2015, only 27 per cent of the population in ldcs had basic handwashing facilities. preliminary estimates from household data of 79 mostly high  and high middle income countries (excluding much of africa and asia) suggest that 59 per cent of all domestic wastewater is safely treated. in 22 countries, mostly in the northern africa and western asia region and in the central and southern asia region, the water stress level is above 70 per cent, indicating the strong probability of future water scarcity. in 2017â€“2018, 157 countries reported average implementation of integrated water resources management of 48 per cent. based on data from 62 out of 153 countries sharing transboundary waters, the average percentage of national transboundary basins covered by an operational arrangement was only 59 per cent in 2017.  currently, water stress affects more than 2 billion people around the world, a figure that is projected to rise. already, water stress affects countries on every continent and hinders the sustainability of natural resources, as well as economic and social development."
366,"despite progress, billions of people still lack safe water, sanitation and handwashing facilities. data suggests that achieving universal access to even basic sanitation service by 2030 would require doubling the current annual rate of progress. more efficient use and management of water are critical to addressing the growing demand for water, threats to water security and the increasing frequency and severity of droughts and floods resulting from climate change. as of the time of writing, most countries are unlikely to reach full implementation of integrated water resources management by 2030. globally, the proportion of population using safely managed drinking water services increased from 61 to 71 per cent between 2000 and 2015 and remained unchanged in 2017. an additional 19 per cent of the global population used basic drinking water services. this means that 785 million people still lacked even a basic drinking water service. the global population using safely managed sanitation services increased from 28 per cent in 2000 to 43 per cent in 2015 and to 45 per cent in 2017, with the greatest increases occurring in latin america and the caribbean, sub saharan africa and east and south east asia. between 2000 and 2017, the proportion lacking even a basic sanitation service decreased from 44 to 27 per cent, yet 701 million people still practiced open defecation in 2017. e/2019/68 19 07404 13/39 in 2017, some 60 per cent of people worldwide and only 38 per cent in least developed countries had a basic handwashing facility with soap and water at home, leaving an estimated 3 billion people without basic handwashing facilities at home."
367,"in 2016, one third of all primary schools lacked basic drinking water, sanitation and hygiene services, affecting the education of millions of schoolchildren, but particularly girls managing menstruation, and one in four health care facilities worldwide lacked basic water services, affecting more than 2 billion people. approximately one third of countries have medium or high levels of water stress. almost all countries that have registered high water stress are located in north africa and west asia or in central and south asia, and these levels indicate serious water difficulties in the supply of freshwater, at least during parts of the year. of 172 countries, 80 per cent have medium low implementation or better of integrated water resources management. however, 60 per cent of countries are unlikely to reach the target of full implementation by 2030. a significant effort is needed to ensure that cooperation is operational in all transboundary basins. according to data from 67 of 153 countries that share transboundary waters, the average percentage of national transboundary basins covered by an operational arrangement was 59 per cent in the period 2017â€“2018, with only 17 countries reporting that all their transboundary basins were covered by such arrangements. following several years of steady increases and after reaching $9 billion in 2016, oda disbursements to the water sector declined by 2 per cent from 2016 to 2017. however, oda commitments to the water sector jumped by 36 per cent between 2016 and 2017, indicating a renewed focus by donors on the sector."
368,"billions of people throughout the world still lack access to safely managed water and sanitation services and basic handwashing facilities at home, which are critical to preventing spreading the spread of covid 19. immediate action to improve water, sanitation and hygiene for all (wash) is critical to preventing infection and containing its spread. in 2017, only 71 per cent of the global population used safely managed drinking water and just 45 per cent used safely managed sanitation services, leaving 2.2 billion persons without safely managed drinking water, including 785 million without even basic drinking water, and 4.2 billion without safely managed sanitation. of those, 673 million persons still practised open defecation. in 2016, one in four health care facilities throughout the world lacked basic water services, and one in five had no sanitation services. in 2017, 3 billion persons lacked soap and water at home. in 2016, 47 per cent of schools worldwide lacked handwashing facilities with available soap and water, and 40 per cent of health care facilities were not equipped to practise hand hygiene at points of care. preliminary estimates from 79 mostly high  and higher middle income countries in 2019 suggest that, in about one quarter of the countries, less than half of all household wastewater flows were treated safely. in 2011, 41 countries experienced water stress, an increase from 36 countries in 1998. of those, 10 countries, on the arabian peninsula, in central asia and in northern africa, withdrew more than 100 per cent of their renewable fresh water resources."
369,"in 2017, central and southern asia and northern africa registered very high water stress â€“ defined as the ratio of fresh water withdrawn to total renewable freshwater resources â€“ of more than 70 per cent, followed by western asia and eastern asia, with high water stress of 54 per cent and 46 per cent, respectively. in 2018, 60 per cent of 172 countries reported very low, low and medium low levels of implementation of integrated water resources management and were unlikely to meet the implementation target by 2030. according to data from 67 countries, the average percentage of national transboundary basins covered by an operational arrangement was 59 per cent in the period 2017â€“2018. only 17 countries reported that all of their transboundary basins were covered by such arrangements. â· globally, in 2018, slightly more than 2.1 per cent of land was covered by freshwater bodies, although unevenly distributed, ranging from 3.5 per cent in developed countries to only 1.4 per cent in developing countries and 1.2 per cent and 1 per cent in least developed countries and small island developing states, respectively. the adverse effects of climate change can decrease the extent of freshwater bodies, thereby worsening ecosystems and livelihoods. oda disbursements to the water sector increased to $9 billion, or 6 per cent, in 2018, following a decrease in such disbursements in 2017. however, oda commitments fell by 9 per cent in 2018. because countries have signalled a funding gap of 61 per cent between what is needed to achieve national drinking water and sanitation targets and available funding, increasing donor commitments to the water sector will remain crucial to make progress towards goal 6."
370,"billions of people worldwide still live without safely managed drinking water, sanitation and hygiene services, which are critical for protecting human health and containing the spread of the covid 19 virus. over the past century, global water use has increased at more than twice the rate of population growth. in addition to water stress, countries and territories are facing growing challenges linked to water pollution, degraded water related ecosystems, water scarcity caused by climate change, and a lack of cooperation on transboundary waters. the world is not on track to achieve goal 6. a dramatic acceleration is needed in the current rates of progress and in integrated and holistic approaches to water management. between 2000 and 2020, the global population using safely managed drinkingwater and sanitation services increased by 2 billion and 2.4 billion, respectively. despite the progress, 2 billion people lacked safely managed drinking water services, 3.6 billion safely managed sanitation services and 2.3 billion basic hygiene services in 2020. one in three people worldwide still lack basic handwashing facilities with soap and water at home, leaving them especially vulnerable to the covid 19 virus. among the 42 countries and territories reporting on total wastewater generation and treatment in 2015, 32 per cent of wastewater flows were subject to some form of treatment. an estimated 56 per cent of wastewater generated by households in 2020 was safely treated, according to data from 128 countries and territories."
371,"an assessment of rivers, lakes and aquifers of 89 countries and territories in 2020 indicates that the water quality of 72 per cent of the water bodies assessed is good. protection is easier than restoration, so efforts to protect these water bodies from pollution must be initiated now. improving water use efficiency is a key measure that can contribute to reducing water stress in a country. global efficiency increased from $17.30 per m3 in 2015 to $19 per m3 in 2018, a 10 per cent increase. all economic sectors have experienced an increase in water use efficiency since 2015, with increases of 15 per cent in the industrial sector, 8 per cent in the agricultural sector and 8 per cent in the services sector. in 2018, global water stress was estimated to be 18.4 per cent, an increase from 18.2 per cent in 2015. regions such as western and southern asia and northern africa present very high levels of water stress at more than 70 per cent, while southeastern asia, latin america and the caribbean, and sub saharan africa saw their water stress levels increase from 2017 to 2018. in 2020, 129 countries and territories were not on track to meet the target for implementing integrated water resources management by 2030, which includes financing and intersectoral coordination mechanisms, basin management and monitoring. the rate of implementation needs to double globally. in many countries and territories, the covid 19 pandemic has led to wider stakeholder engagement in water resources management through online consultations."
372,"advancing transboundary water cooperation plays a crucial role in preventing conflicts and supporting wider regional integration, peace and sustainable development. however, according to data from 2017 and 2020, only 24 of the 153 countries and territories that share transboundary rivers, lakes and aquifers have 100 per cent of their transboundary basin area covered by operational arrangements, and only another 22 countries and territories have more than 70 per cent covered. freshwater ecosystems and the multitude of resources that they provide are changing dramatically. one fifth of the worldâ€™s river basins are experiencing rapid increases or decreases in surface water area. this unprecedented situation is compounded by pollution in large lakes and the persistent loss and degradation of wetlands and freshwater biodiversity. between 1970 and 2015, the total area of inland and marine or coastal wetlands declined by approximately 35 per cent, three times the rate of forest loss. existing efforts to protect and restore water related ecosystems must be scaled up and accelerated urgently. from 2015 to 2019, oda disbursements to the water sector remained stable at around $8.8 billion, while oda commitments to the water sector rose by 9 per cent. in the same period, concessional lending for the least developed countries increased by 52 per cent to $2 billion, with oda grants to those countries increasing by only 8 per cent. in 2018 and 2019, two thirds of the 109 reporting countries and territories had procedures for the participation of local communities in water and sanitation management that were defined in laws or policies. however, only 14 countries and territories reported high levels of community and user participation in collaborative management and decision making."
373,"energy is crucial for achieving almost all of the sustainable development goals, from its role in the eradication of poverty through advancements in health, education, water supply and industrialization, to combating climate change. the proportion of the global population with access to electricity has increased steadily, from 79 per cent in 2000 to 85 per cent in 2012. still, 1.1 billion people are without this valuable service. recent global progress in this area has been driven largely by asia, where access is expanding at more than twice the pace of demographic growth. of those gaining access to electricity worldwide since 2010, 80 per cent are urban dwellers. the proportion of the worldâ€™s population with access to clean fuels and technologies for cooking increased from 51 per cent in 2000 to 58 per cent in 2014, although there has been limited progress since 2010. the absolute number of people relying on polluting fuels and technologies for cooking, such as solid fuels and kerosene, however, has actually increased, reaching an estimated three billion people. limited progress since 2010 falls substantially short of global population growth and is almost exclusively confined to urban areas. the share of renewable energy (derived from hydropower, solid and liquid biofuels, wind, the sun, biogas, geothermal and marine sources, and waste) in the worldâ€™s total final energy consumption has increased slowly, from 17.4 per cent in 2000 to 18.1 per cent in 2012. more telling is the fact that modern renewable energy consumption, which excludes solid biofuels used for traditional purposes, grew rapidly, at a rate of 4 per cent a year between 2010 and 2012, and accounted for 60 per cent of all new power generating capacity in 2014. "
374,"in absolute terms, about 72 per cent of the increase in energy consumption from modern renewable sources between 2010 and 2012 came from developing regions, mostly from eastern asia. the technologies making the largest contribution have been hydropower, wind and solar energy; together they account for 73 per cent of the total increase in modern renewable energy between 2010 and 2012. energy intensity, calculated by dividing total primary energy supply by gdp, reveals how much energy is used to produce one unit of economic output. globally, energy intensity decreased by 1.7 per cent per year from 2010 to 2012. this represents a considerable improvement over the period from 1990 to 2010, when it decreased by 1.2 per cent a year. as a result, global energy intensity, which stood at 6.7 (millijoules (mj) per 2011 united states dollar ppp) in 2000 fell to 5.7 by 2012. the proportion of the worldâ€™s energy use covered by mandatory energy efficiency regulation, which has almost doubled over the past decade, from 14 per cent in 2005 to 27 per cent in 2014, was a factor. still, current progress is only about two thirds of the pace needed to double the global rate of improvement in energy efficiency. among end use sectors, industry was the largest contributor to reduced energy intensity, followed closely by transportation. about 68 per cent of the savings in energy intensity between 2010 and 2012 came from developing regions, with eastern asia as the largest contributor. progress in every area of sustainable energy falls short of what is needed to achieve energy access for all and to meet targets for renewable energy and energy efficiency. "
375,"meaningful improvements will require higher levels of financing and bolder policy commitments, together with the willingness of countries to embrace new technologies on a much wider scale. globally, 85.3 per cent of the population had access to electricity in 2014, an increase of only 0.3 percentage points since 2012. that means that 1.06 billion people, predominantly rural dwellers, still function without electricity. half of those people live in sub saharan africa. access to clean fuels and technologies for cooking climbed to 57.4 per cent in 2014, up slightly from 56.5 per cent in 2012. more than 3 billion people, the majority of them in asia and sub saharan africa, are still cooking without clean fuels and more efficient technologies. the share of renewable energy in final energy consumption grew modestly from 2012 to 2014, from 17.9 per cent to 18.3 per cent. most of the increase was from renewable electricity from water, solar and wind power. solar and wind power still make up a relatively minor share of energy consumption, despite their rapid growth in recent years. the challenge is to increase the share of renewable energy in the heat and transport sectors, which together account for 80 per cent of global energy consumption. from 2012 to 2014, three quarters of the worldâ€™s 20 largest energy consuming countries had reduced their energy intensity â€” the ratio of energy used per unit of gdp. the reduction was driven mainly by greater efficiencies in the industry and transport sectors. however, that progress is still not sufficient to meet the target of doubling the global rate of improvement in energy efficiency."
376,"ensuring access to affordable, reliable and modern energy for all has come one step closer due to recent progress in electrification, particularly in ldcs, and improvements in industrial energy efficiency. however, national priorities and policy ambitions still need to be strengthened to put the world on track to meet the energy targets for 2030. from 2000 to 2016, the proportion of the global population with access to electricity increased from 78 per cent to 87 per cent, with the absolute number of people living without electricity dipping to just below 1 billion. in the least developed countries, the proportion of the people with access to electricity more than doubled between 2000 and 2016. in 2016, 3 billion people (41 per cent of the worldâ€™s population) were still cooking with polluting fuel and stove combinations. the share of renewables in final energy consumption increased modestly, from 17.3 per cent in 2014 to 17.5 per cent in 2015. yet only 55 per cent of the renewable share was derived from modern forms of renewable energy. global energy intensity decreased by 2.8 per cent from 2014 to 2015, double the rate of improvement seen between 1990 and 2010. access to electricity in the poorest countries has begun to accelerate, energy efficiency continues to improve and renewable energy is making gains in electricity sector. despite this progress, some 800 million people remain without electricity while access to clean cooking fuels and technologies needs dedicated attention. per capita hydropower capacity remained stable in 2019, as total capacity increased in line with population growth during the year at approximately 0.4 per cent. solar and wind capacities both expanded much faster than population growth, leading to increases in per capita capacity of 22.2 and 11.3 per cent, respectively."
377,"in addition, if sustainable development goals 7, 13 and related goals are to be met, much higher levels of ambition are required with regard to renewable energy, including transportation and heating. the global electrification rate rose from 83 per cent in 2010 to 87 per cent in 2015, with the increase accelerating to reach 89 per cent in 2017. however, some 840 million people around the world are still without access to electricity. the global share of the population with access to clean cooking fuels and technologies reached 61 per cent in 2017, up from 57 per cent in 2010. despite this progress, close to 3 billion people still rely primarily on inefficient and polluting cooking systems. the renewable energy share of total final energy consumption gradually increased from 16.6 per cent in 2010 to 17.5 per cent in 2016, though much faster change is required to meet climate goals. even though the absolute level of renewable energy consumption has grown by more than 18 per cent since 2010, only since 2012 has the growth of renewables outpaced the growth of total energy consumption. e/2019/68 14/39 19 07404 global primary energy intensity (ratio of energy used per unit of gdp) improved from 5.9 in 2010 to 5.1 in 2016, a rate of improvement of 2.3 per cent, which is still short of the 2.7 per cent annual rate needed to reach target 3 of sustainable development goal 7. international financial flows to developing countries in support of clean and renewable energy reached $18.6 billion in 2016, almost doubling from $9.9 billion in 2010."
378,"the world is making good progress on increasing access to electricity and improving energy efficiency. however, millions of people throughout the world still lack such access, and progress on facilitating access to clean cooking fuels and technologies is too slow. the pandemic has highlighted the need for reliable and affordable electricity in health centres. in addition, a survey conducted in selected developing countries revealed that one quarter of the health facilities surveyed were not electrified, and another quarter had unscheduled outages, affecting their capacity to deliver essential health services. such deficiencies weaken the health systemâ€™s response to the current health crisis. the global electrification rate rose, from 83 per cent in 2010 to 90 per cent by 2018. latin america and the caribbean and eastern and south eastern asia maintained strong progress, exceeding 98 per cent access to electricity by 2018. however, the worldâ€™s deficit was increasingly concentrated in sub saharan africa, where some 548 million persons, or 53 per cent of the population, lacked access to electricity. access to clean cooking fuels and technologies increased to 63 per cent in 2018, from 60 per cent in 2015 and 56 per cent in 2010. still, 2.8 billion persons lacked such access and relied primarily on inefficient and polluting cooking systems. because of the stagnant rate and rapid population growth, in sub saharan africa, the number of people without access to clean fuels for cooking increased. the renewable energy share of total final energy consumption gradually increased, from 16.3 per cent in 2010 to 17.0 per cent in 2015 and 17.3 per cent in 2017. much faster growth is required to meet long term climate goals. "
379,
380,"global primary energy intensity (the energy used per unit of gdp) improved by 2.2 per cent annually, from 5.2 per cent in 2015 to 5.0 per cent in 2017, but was still short of the 2.7 per cent annual rate needed to reach target 7.3. international financial flows to developing countries in support of clean and renewable energy reached $21.4 billion in 2017, 13 per cent higher than in 2016 and a twofold increase from flows committed in 2010. hydropower projects received 46 per cent of 2017 flows, while solar projects received 19 per cent, wind 7 per cent and geothermal 6 per cent. despite significant progress over the past decade on improving access to electricity, increasing renewable energy use in the electricity sector and improving energy efficiency, the world is still falling short in providing affordable, reliable, sustainable and modern energy for all. clean and sustainable energy should be at the heart of the covid 19 response and of efforts to combat climate change. global access to electricity increased from 83 per cent in 2010 to 90 per cent in 2019, with an increase in average annual electrification of 0.876 percentage points. the global access deficit decreased from 1.22 billion in 2010 to 759 million in 2019. despite the significant effort made, there may still be as many as 660 million people without access worldwide in 2030. in addition, the covid 19 pandemic will impede progress on future electrification. in 2019, 66 per cent of the global population had access to clean cooking fuels and technologies. for the period 2010â€“2019, most of the increases in such access occurred in the most populous low  and middle income countries and territories: brazil, china, india, indonesia and pakistan. people reliant on polluting fuels and technologies are exposed to high levels of household air pollution with serious consequences for their cardiovascular and respiratory systems, increasing their vulnerability to diseases including the covid 19 virus. "
381,"the share of renewable energy in total final energy consumption increased gradually from 16.4 per cent in 2010 to 17.1 per cent in 2018. however, the share of modern renewable sources in total final energy consumption rose by only 2.5 percentage points in a decade, remaining below 11 per cent in 2018. the pandemic is having a mixed impact on renewable energy development across end use sectors: global electricity demand declined by 2 per cent in 2020 compared to 2019, but the use of renewables for power generation increased by almost 7 per cent year on year. global primary energy intensity increased from 5.6 megajoules per dollar of gross domestic product (gdp) in 2010 to 4.8 megajoules in 2018, an average annual rate of improvement of 2 per cent. while early estimates for 2019 also indicate an improvement of 2 per cent, the outlook for 2020 suggests a rate of only 0.8 per cent because of the pandemic. annual improvement until 2030 will need to average 3 per cent if the goal 7.3 target is to be met. international financial flows to developing countries in support of clean and renewable energy reached $14 billion in 2018, 35 per cent lower than in 2017 but 32 per cent higher than in 2010. hydropower projects received 27 per cent of flows in 2018, while projects relating to solar received 26 per cent, geothermal 8 per cent, wind 5 per cent and multiple or other renewable energies 34 per cent. developing countries had a renewable energy capacity of 219 watts per capita at the end of 2019, an increase of 7 per cent over the year but slightly less than the 8.8 per cent expansion in per capita capacity for 2018. "
