,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,"0.75*SDG9,0.25*SDG10","0.79*SDG1,0.21*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,"0.85*SDG16,0.15*SDG10",1.00*SDG2,1.00*SDG8
0,7671.352:policy,13061.601:energy,12064.356:water,5864.522:health,7029.574:woman,5323.029:education,5818.433:climate,3686.739:manufacturing,6332.304:poverty,5431.762:ocean,5359.771:urban,2515.059:material,2277.357:right,4026.840:food,2299.009:labour
1,4511.292:chapter,2757.673:renewable,4611.583:sanitation,5169.171:disease,4217.818:girl,4769.577:school,4212.510:climate change,2568.185:country,2978.121:social,4501.350:marine,4309.048:city,2411.692:consumption,1962.854:country,1861.156:hunger,2086.211:employment
2,3863.541:paper,2546.595:electricity,2260.415:drinking,4132.053:death,4131.313:gender,3912.474:primary,3980.146:change,2335.026:developing,2575.893:social protection,3084.408:biodiversity,2163.215:slum,1532.906:production,1718.307:institution,1500.109:agricultural,1849.603:growth
3,3655.389:government,2376.430:renewable energy,2175.758:drinking water,3192.608:mortality,2673.173:woman girl,2351.609:child,2311.617:adaptation,2309.530:developed,2482.800:extreme,2372.516:area,1971.680:transport,1445.264:consumption production,1632.245:victim,1403.103:agriculture,1315.303:rate
4,3609.037:oecd,2343.421:energy efficiency,1858.370:water sanitation,2434.586:communicable,2478.192:equality,2072.205:secondary,2134.100:disaster,2199.918:developed country,2447.017:extreme poverty,2256.022:ecosystem,1735.787:population,1236.579:sustainable,1608.044:violence,838.894:insecurity,1310.165:unemployment
5,3354.305:innovation,2189.025:efficiency,1677.617:management,2310.220:maternal,2307.465:gender equality,2067.126:learning,1480.545:country,2010.000:value added,2338.994:protection,1898.851:forest,1400.051:urban population,1130.750:resource,1551.290:human right,810.486:export,1297.740:worker
6,3143.009:development,1983.685:fuel,1672.066:safely,2193.801:communicable disease,1607.760:violence,2031.532:teacher,1454.641:emission,1997.406:added,1488.619:income,1683.168:coastal,1309.827:space,1074.205:sustainable consumption,1352.006:human,795.059:malnutrition,1180.355:labour productivity
7,3010.453:digital,1842.545:technology,1566.286:access,2060.944:care,1486.707:marriage,1524.648:primary school,1442.493:action,1900.956:value,1378.091:living,1614.552:land,1292.706:public,1057.491:material consumption,1243.807:law,771.711:food insecurity,1178.681:productivity
8,2647.395:challenge,1794.635:clean,1553.605:water resource,1766.726:cancer,1432.134:female,1475.171:student,1438.361:paris agreement,1632.597:developing country,1226.349:benefit,1486.725:specie,1282.981:housing,1039.686:sustainable consumption production,1196.244:justice,727.903:genetic,1161.370:job
9,2496.511:support,1515.922:access,1443.233:service,1465.491:vaccine,1347.876:work,1411.987:primary secondary,1430.550:agreement,1556.011:manufacturing value added,1177.777:inequality,1480.828:protected,1181.171:disaster,1027.072:footprint,1196.018:child,710.507:production,963.819:youth
10,2370.521:environmental,1514.326:emission,1191.177:sanitation service,1439.825:mental,1254.215:men,1407.356:secondary education,1422.476:paris,1556.011:manufacturing value,1163.301:poor,1427.237:sustainable,1172.440:air,989.106:material footprint,1132.835:territory,687.949:breed,887.275:global
11,2335.519:public,1330.811:carbon,1176.553:scarcity,1378.816:health care,1219.033:sexual,1299.247:primary education,1356.790:risk,1338.835:gdp,1022.947:worker,1399.082:resource,1052.332:settlement,829.163:domestic material consumption,1120.994:country territory,669.104:nutrition,874.638:unemployment rate
12,2245.269:approach,1069.229:global,1168.835:basic,1285.122:live,1190.037:legal,1213.095:proficiency,1288.601:nationally contribution,1261.258:industry,973.639:population,1347.303:protected area,1020.731:land,829.163:domestic material,953.431:sexual,655.526:wasting,869.136:growth rate
13,2108.188:business,1033.784:energy consumption,1159.304:supply,1265.725:coverage,1180.814:right,1202.639:quality,1247.769:contribution,1071.870:infrastructure,933.095:world,1341.257:fishery,993.268:public transport,657.291:natural resource,932.931:access justice,648.904:food security,861.259:adult
14,2058.171:report,1011.455:cooking,1154.950:resource,1244.622:mental health,1175.060:discrimination,1159.581:reading,1189.758:nationally,929.764:global,891.956:world population,1180.143:marine environment,977.865:urbanization,655.390:pattern,885.079:national,613.345:sector,830.200:economic growth
15,2052.613:initiative,999.116:fossil,1110.465:water service,1193.204:malaria,1084.974:mutilation,932.248:mathematics,1157.185:reduction,924.468:development,876.491:country,1133.150:sea,935.770:living,644.286:environmental,870.245:trafficking,607.352:subsidy,829.336:financial
16,1965.373:role,985.106:power,1097.274:water supply,1104.555:suicide,1084.974:genital,915.633:quality education,1132.771:framework convention,858.063:research,863.384:disaster,1044.703:loss,919.547:public space,642.631:consumption production pattern,834.819:homicide,602.639:child,824.208:economic
17,1956.743:sector,983.275:sector,1072.308:facility,1067.198:risk,1084.974:genital mutilation,892.264:training,1119.509:convention,857.368:island,823.294:child,1022.776:conservation,886.713:area,635.164:production pattern,812.035:access,602.395:nutritious,794.327:informal
18,1853.924:need,943.087:clean energy,1060.943:water scarcity,1062.294:traffic,1084.974:female genital,887.972:primary secondary education,1055.045:national,842.154:developing state,803.105:vulnerable,942.831:fish,848.486:resident,629.269:metric,786.025:income,599.291:food production,784.164:income
19,1842.045:market,929.345:energy energy,1011.537:water resource management,1061.392:tobacco,1084.974:female genital mutilation,849.470:skill,1010.887:national adaptation,842.154:island developing,730.978:le,935.546:acidification,797.203:urban resident,583.767:natural,761.750:human right institution,588.261:export subsidy,771.945:gdp
