,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,"0.75*SDG9,0.25*SDG10","0.79*SDG1,0.21*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,"0.85*SDG16,0.15*SDG10",1.00*SDG2,1.00*SDG8
0,2545.078:policy,4359.884:energy,4045.280:water,1950.588:health,2441.967:woman,1897.771:education,2050.475:climate,1379.472:manufacturing,2310.290:poverty,1912.630:ocean,1935.473:urban,1146.610:material,879.891:right,1663.916:food,913.538:labour
1,1496.683:chapter,920.495:renewable,1546.307:sanitation,1719.308:disease,1465.208:girl,1700.455:school,1484.532:climate change,960.918:country,1086.539:social,1585.011:marine,1556.046:city,1099.487:consumption,758.401:country,769.035:hunger,828.985:employment
2,1281.786:paper,850.038:electricity,757.938:drinking,1374.385:death,1435.153:gender,1394.880:primary,1402.644:change,873.685:developing,939.790:social protection,1086.044:biodiversity,781.163:slum,698.850:production,663.891:institution,619.859:agricultural,734.972:growth
3,1212.727:government,793.238:renewable energy,729.552:drinking water,1061.916:mortality,928.620:woman girl,838.399:child,814.637:adaptation,864.149:developed,905.830:extreme,835.386:area,711.993:transport,658.892:consumption production,630.633:victim,579.776:agriculture,522.659:rate
4,1197.344:oecd,782.220:energy efficiency,623.129:water sanitation,809.762:communicable,860.884:equality,738.785:secondary,752.084:disaster,823.135:developed country,892.775:extreme poverty,794.375:ecosystem,626.817:population,563.761:sustainable,621.287:violence,346.633:insecurity,520.607:unemployment
5,1112.829:innovation,730.684:efficiency,562.520:management,768.409:maternal,801.576:gender equality,736.973:learning,521.760:country,752.085:value added,853.360:protection,668.590:forest,505.576:urban population,515.512:resource,599.361:human right,334.901:export,515.675:worker
6,1042.775:development,662.142:fuel,560.660:safely,729.675:communicable disease,558.517:violence,724.283:teacher,512.630:emission,747.373:added,543.100:income,592.676:coastal,472.994:space,489.727:sustainable consumption,522.365:human,328.522:malnutrition,469.027:labour productivity
7,998.752:digital,615.032:technology,525.192:access,685.488:care,516.459:marriage,543.570:primary school,508.350:action,711.283:value,502.786:living,568.489:land,466.809:public,482.107:material consumption,480.563:law,318.872:food insecurity,468.364:productivity
8,878.328:challenge,599.038:clean,520.936:water resource,587.624:cancer,497.500:female,525.927:student,506.895:paris agreement,610.860:developing country,447.421:benefit,523.485:specie,463.298:housing,473.990:sustainable consumption production,462.180:justice,300.785:genetic,461.487:job
9,828.266:support,506.008:access,483.929:service,487.437:vaccine,468.232:work,503.403:primary secondary,504.142:agreement,582.216:manufacturing value added,429.692:inequality,521.418:protected,426.546:disaster,468.239:footprint,462.092:child,293.587:production,382.983:youth
10,786.462:environmental,505.478:emission,399.413:sanitation service,478.894:mental,435.697:men,501.753:secondary education,501.296:paris,582.216:manufacturing value,424.419:poor,502.549:sustainable,423.386:air,450.930:material footprint,437.697:territory,284.267:breed,352.577:global
11,774.862:public,444.219:carbon,394.509:scarcity,458.607:health care,423.477:sexual,463.210:primary education,478.148:risk,500.952:gdp,373.214:worker,492.633:resource,380.011:settlement,378.013:domestic material consumption,433.122:country territory,276.477:nutrition,347.546:unemployment rate
12,744.903:approach,356.911:global,391.923:basic,427.464:live,413.399:legal,432.494:proficiency,454.118:nationally contribution,471.925:industry,355.223:population,474.402:protected area,368.609:land,378.013:domestic material,368.367:sexual,270.864:wasting,345.367:growth rate
13,699.418:business,345.071:energy consumption,388.724:supply,420.992:coverage,410.202:right,428.765:quality,439.727:contribution,401.062:infrastructure,340.432:world,472.281:fishery,358.679:public transport,299.659:natural resource,360.447:access justice,268.132:food security,342.233:adult
14,682.832:report,337.617:cooking,387.267:resource,413.969:mental health,408.197:discrimination,413.415:reading,419.285:nationally,347.889:global,325.423:world population,415.551:marine environment,353.120:urbanization,298.790:pattern,341.968:national,253.440:sector,329.893:economic growth
15,680.980:initiative,333.499:fossil,372.349:water service,396.875:malaria,376.903:mutilation,332.366:mathematics,407.806:reduction,345.906:development,319.776:country,399.005:sea,337.918:living,293.730:environmental,336.228:trafficking,250.962:subsidy,329.549:financial
16,652.044:role,328.822:power,367.925:water supply,367.381:suicide,376.903:genital,326.442:quality education,399.202:framework convention,321.062:research,315.000:disaster,367.844:loss,332.059:public space,292.973:consumption production pattern,322.541:homicide,249.008:child,327.515:economic
17,649.192:sector,328.215:sector,359.556:facility,354.959:risk,376.903:genital mutilation,318.111:training,394.528:convention,320.799:island,300.376:child,360.130:conservation,320.215:area,289.569:production pattern,313.740:access,248.912:nutritious,315.637:informal
