,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,"0.75*SDG9,0.25*SDG10","0.79*SDG1,0.21*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,"0.85*SDG16,0.15*SDG10",1.00*SDG2,1.00*SDG8
0,4753.227:policy,8101.135:energy,7493.401:water,3630.688:health,4419.036:woman,3376.618:education,3676.437:climate,2381.739:manufacturing,4051.685:poverty,3431.100:ocean,3416.177:urban,1769.722:material,1489.770:right,2708.800:food,1521.096:labour
1,2795.229:chapter,1710.378:renewable,2864.345:sanitation,3200.201:disease,2651.469:girl,3025.541:school,2661.718:climate change,1659.106:country,1905.529:social,2843.382:marine,2746.474:city,1696.989:consumption,1284.047:country,1251.971:hunger,1380.305:employment
2,2393.880:paper,1579.462:electricity,1403.988:drinking,2558.159:death,2597.086:gender,2481.846:primary,2514.896:change,1508.483:developing,1648.167:social protection,1948.318:biodiversity,1378.778:slum,1078.630:production,1124.057:institution,1009.106:agricultural,1223.762:growth
3,2264.906:government,1473.922:renewable energy,1351.406:drinking water,1976.552:mortality,1680.450:woman girl,1491.725:child,1460.620:adaptation,1492.015:developed,1588.605:extreme,1498.642:area,1256.695:transport,1016.961:consumption production,1067.754:victim,943.851:agriculture,870.250:rate
4,2236.182:oecd,1453.449:energy efficiency,1154.270:water sanitation,1507.235:communicable,1557.876:equality,1314.486:secondary,1348.457:disaster,1421.202:developed country,1565.710:extreme poverty,1425.061:ecosystem,1106.349:population,870.123:sustainable,1051.925:violence,564.311:insecurity,866.845:unemployment
5,2078.346:innovation,1357.689:efficiency,1042.001:management,1430.255:maternal,1450.551:gender equality,1311.263:learning,935.500:country,1298.518:value added,1496.589:protection,1199.436:forest,892.357:urban population,795.655:resource,1014.800:human right,545.205:export,858.627:worker
6,1947.460:development,1230.331:fuel,1038.553:safely,1358.166:communicable disease,1010.700:violence,1288.685:teacher,919.129:emission,1290.383:added,952.478:income,1063.212:coastal,834.850:space,755.865:sustainable consumption,884.435:human,534.825:malnutrition,780.960:labour productivity
7,1865.293:digital,1142.794:technology,972.853:access,1275.919:care,934.596:marriage,967.148:primary school,911.455:action,1228.072:value,881.764:living,1019.855:land,823.935:public,744.104:material consumption,813.656:law,519.118:food insecurity,779.853:productivity
8,1640.358:challenge,1113.078:clean,964.973:water resource,1093.765:cancer,900.288:female,935.761:student,908.844:paris agreement,1054.696:developing country,784.670:benefit,939.114:specie,817.738:housing,731.576:sustainable consumption production,782.538:justice,489.656:genetic,768.400:job
9,1546.866:support,940.215:access,896.420:service,907.279:vaccine,847.322:work,895.682:primary secondary,903.909:agreement,1005.229:manufacturing value added,753.587:inequality,935.393:protected,752.855:disaster,722.699:footprint,782.390:child,477.949:production,637.692:youth
10,1468.800:environmental,939.227:emission,739.863:sanitation service,891.383:mental,788.445:men,892.745:secondary education,898.807:paris,1005.229:manufacturing value,744.330:poor,901.543:sustainable,747.286:air,695.985:material footprint,741.068:territory,462.775:breed,587.054:global
11,1447.120:public,825.405:carbon,730.780:scarcity,853.618:health care,766.330:sexual,824.167:primary education,857.303:risk,864.925:gdp,654.527:worker,883.757:resource,670.730:settlement,583.441:domestic material consumption,733.322:country territory,450.096:nutrition,578.687:unemployment rate
12,1391.188:approach,663.170:global,725.988:basic,795.633:live,748.098:legal,769.516:proficiency,814.217:nationally contribution,814.808:industry,622.977:population,851.050:protected area,650.595:land,583.441:domestic material,623.699:sexual,440.961:wasting,575.051:growth rate
13,1306.247:business,641.179:energy consumption,720.066:supply,783.605:coverage,742.306:right,762.884:quality,788.416:contribution,692.458:infrastructure,597.036:world,847.235:fishery,633.082:public transport,462.504:natural resource,610.289:access justice,436.509:food security,569.837:adult
14,1275.261:report,627.330:cooking,717.364:resource,770.535:mental health,738.683:discrimination,735.571:reading,751.762:nationally,600.653:global,570.712:world population,745.465:marine environment,623.267:urbanization,461.165:pattern,578.992:national,412.590:sector,549.288:economic growth
15,1271.812:initiative,619.677:fossil,689.732:water service,738.710:malaria,682.052:mutilation,591.364:mathematics,731.180:reduction,597.230:development,560.816:country,715.781:sea,596.436:living,453.352:environmental,569.282:trafficking,408.558:subsidy,548.716:financial
16,1217.762:role,610.988:power,681.537:water supply,683.820:suicide,682.052:genital,580.824:quality education,715.754:framework convention,554.333:research,552.431:disaster,659.902:loss,586.095:public space,452.187:consumption production pattern,546.108:homicide,405.384:child,545.325:economic
