,"0.78*SDG7,0.22*SDG13","0.67*SDG2,0.33*SDG10",1.00*SDG13,"0.54*SDG5,0.46*SDG4",1.00*SDG8,"0.33*SDG12,0.32*SDG7,0.19*SDG14,0.17*SDG2",1.00*SDG6,1.00*SDG3,"0.51*SDG2,0.49*SDG14","0.51*SDG11,0.49*SDG12","0.36*SDG10,0.34*SDG16,0.30*SDG9",1.00*SDG9,1.00*SDG16,1.00*SDG15,"0.72*SDG1,0.28*SDG10",1.00*SDG14,"0.53*SDG13,0.47*SDG10"
0,0.056:energy,0.034:country,0.047:climate,0.045:woman,0.022:labour,0.025:energy,0.092:water,0.032:health,0.015:country,0.020:urban,0.028:country,0.033:country,0.035:country,0.035:biodiversity,0.037:poverty,0.049:ocean,0.027:policy
1,0.015:access,0.027:developing,0.033:change,0.030:education,0.021:growth,0.020:resource,0.027:sanitation,0.026:death,0.014:including,0.019:waste,0.021:including,0.026:manufacturing,0.018:right,0.025:area,0.025:social,0.046:marine,0.020:country
2,0.014:global,0.025:food,0.028:country,0.020:gender,0.019:country,0.020:carbon,0.016:country,0.024:disease,0.012:subsidy,0.017:city,0.021:developing,0.019:global,0.013:child,0.024:land,0.019:income,0.019:sustainable,0.015:chapter
3,0.013:electricity,0.017:region,0.025:climate_change,0.020:girl,0.017:employment,0.018:production,0.014:drinking,0.013:rate,0.012:open,0.013:policy,0.020:development,0.018:developed,0.012:territory,0.023:forest,0.014:protection,0.018:fishery,0.014:oecd
4,0.012:renewable,0.017:developed,0.020:disaster,0.020:child,0.017:rate,0.013:environmental,0.014:access,0.013:mortality,0.010:seed,0.012:material,0.017:sustainable,0.018:value,0.012:country_territory,0.018:specie,0.013:social_protection,0.015:coastal,0.011:paper
5,0.012:emission,0.014:world,0.014:adaptation,0.019:country,0.013:global,0.012:consumption,0.013:management,0.012:child,0.009:trade,0.009:sustainable,0.015:developing_country,0.016:developed_country,0.012:violence,0.014:loss,0.013:population,0.014:ecosystem,0.010:government
6,0.012:technology,0.012:developing_country,0.013:development,0.018:school,0.011:adult,0.011:economy,0.012:service,0.010:care,0.009:agricultural,0.009:public,0.014:ensure,0.013:gdp,0.011:human,0.014:ecosystem,0.012:extreme,0.012:level,0.010:development
7,0.010:fuel,0.012:hunger,0.013:risk,0.016:primary,0.011:worker,0.009:sustainable,0.010:drinking_water,0.010:global,0.008:international,0.009:transport,0.013:proportion,0.013:added,0.011:victim,0.010:resource,0.011:inequality,0.010:sea,0.008:challenge
8,0.009:renewable_energy,0.011:developing_region,0.013:national,0.009:equality,0.011:income,0.009:economic,0.010:resource,0.009:live,0.008:measure,0.007:management,0.013:access,0.012:development,0.011:access,0.010:degradation,0.011:country,0.010:stock,0.008:economic
9,0.009:clean,0.011:agriculture,0.010:action,0.008:learning,0.011:job,0.008:demand,0.009:basic,0.008:risk,0.007:access,0.007:food,0.012:policy,0.011:developing,0.011:africa,0.009:protected,0.011:world,0.010:area,0.007:framework
10,0.009:world,0.010:agricultural,0.010:reduction,0.008:level,0.010:unemployment,0.008:global,0.009:water_sanitation,0.008:country,0.007:market,0.007:population,0.012:particular,0.011:economic,0.011:law,0.008:wildlife,0.011:benefit,0.009:fish,0.007:analysis
11,0.009:efficiency,0.009:child,0.010:impact,0.007:gender_equality,0.009:economic,0.008:material,0.007:asia,0.008:wa,0.006:prevent,0.007:country,0.012:support,0.011:industry,0.009:asia,0.008:terrestrial,0.010:child,0.009:pollution,0.007:role
